id,key,value,type
137220328,power,tower,regular
137220332,power,tower,regular
137220798,power,tower,regular
137220927,highway,motorway_junction,regular
137220944,highway,motorway_junction,regular
137221009,highway,traffic_signals,regular
137222768,highway,turning_circle,regular
137222780,highway,turning_circle,regular
137222902,highway,turning_circle,regular
137223524,noexit,yes,regular
137223896,highway,turning_circle,regular
137223924,highway,turning_circle,regular
137223939,highway,turning_circle,regular
137223946,highway,turning_circle,regular
137223971,highway,turning_circle,regular
137224324,highway,turning_circle,regular
137224333,highway,turning_circle,regular
137224343,highway,turning_circle,regular
137224371,highway,turning_circle,regular
137224795,highway,turning_circle,regular
137224988,highway,turning_circle,regular
137225002,highway,turning_circle,regular
137225011,highway,turning_circle,regular
137225024,highway,crossing,regular
137225037,highway,turning_circle,regular
137225037,noexit,yes,regular
137225193,highway,turning_circle,regular
137225286,highway,turning_circle,regular
137225400,source,Yahoo,regular
137225400,highway,turning_circle,regular
137225777,highway,turning_circle,regular
137226310,highway,traffic_signals,regular
137226590,highway,turning_circle,regular
137226791,highway,turning_circle,regular
137227093,highway,turning_circle,regular
137227247,highway,turning_circle,regular
137227262,highway,turning_circle,regular
137227394,highway,turning_circle,regular
137228298,source,Bing,regular
137228298,highway,turning_circle,regular
137228540,source,bing,regular
137228540,highway,turning_circle,regular
137228844,highway,turning_circle,regular
137228942,source,Bing,regular
137228942,highway,turning_circle,regular
137229162,highway,turning_circle,regular
137229529,source,Bing,regular
137229529,highway,turning_circle,regular
137229605,highway,turning_circle,regular
137229747,source,Bing,regular
137229747,highway,turning_circle,regular
137229763,highway,turning_circle,regular
137229814,highway,turning_circle,regular
137230098,source,Bing,regular
137230098,highway,turning_circle,regular
137230178,highway,turning_circle,regular
137230229,source,Bing,regular
137230229,highway,turning_circle,regular
137230239,source,Bing,regular
137230239,highway,turning_circle,regular
137230276,highway,turning_circle,regular
137230282,source,Yahoo,regular
137230282,highway,turning_circle,regular
137230311,source,bing,regular
137230311,highway,turning_circle,regular
137230446,highway,turning_circle,regular
137230461,highway,turning_circle,regular
137230559,highway,turning_circle,regular
137230803,highway,turning_circle,regular
137230878,railway,level_crossing,regular
137230878,bell,no,crossing
137230878,light,no,crossing
137230878,barrier,no,crossing
137231042,highway,turning_circle,regular
137231093,source,Bing,regular
137231093,highway,turning_circle,regular
137231319,highway,turning_circle,regular
137231471,highway,turning_circle,regular
137231485,highway,turning_circle,regular
137231569,highway,turning_circle,regular
137231880,highway,turning_circle,regular
137231884,highway,turning_circle,regular
137231891,highway,turning_circle,regular
137231955,source,bing,regular
137231955,highway,turning_circle,regular
137232024,highway,turning_circle,regular
137232114,highway,turning_circle,regular
137232140,noexit,yes,regular
137232155,highway,turning_circle,regular
137233044,highway,turning_circle,regular
137233110,highway,turning_circle,regular
137233718,source,Yahoo,regular
137233718,highway,turning_circle,regular
137233913,highway,turning_circle,regular
137234679,highway,turning_circle,regular
137234698,source,Bing,regular
137234698,highway,turning_circle,regular
137235349,highway,crossing,regular
137235927,highway,turning_circle,regular
137235985,highway,turning_circle,regular
137235998,highway,turning_circle,regular
137236105,source,bing,regular
137236105,highway,turning_circle,regular
137236280,highway,turning_circle,regular
137236568,highway,turning_circle,regular
137236834,highway,turning_circle,regular
137236864,highway,turning_circle,regular
137237011,noexit,yes,regular
137237170,highway,turning_circle,regular
137237216,highway,turning_circle,regular
137237253,highway,turning_circle,regular
137237272,highway,turning_circle,regular
137237502,highway,turning_circle,regular
137237559,highway,turning_circle,regular
137237574,highway,turning_circle,regular
137237834,highway,turning_circle,regular
137238275,highway,turning_circle,regular
137238895,highway,turning_circle,regular
137239385,highway,turning_circle,regular
